outcome,variable,model,N,N_event,coef,se(coef),exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,C,MH_coef,MH_HR,MH_LL,MH_UL,MH_p,HR_CI,MH_CI,Concordance
died,aa_coefs_frailty_cmb_ffs,0,2160,274,0.5110479400600566,0.054718335143837574,1.6670372350136078,1.497507372025967,1.855759240211357,9.668910693424866e-21,0.6243577451631143,,,,,,1.67 (1.5; 1.86),nan (nan; nan),0.62
cancer_inc,aa_Gaddprot,5,1955,341,0.19252789607242807,0.050468906539414354,1.2123103219322897,1.0981321125312564,1.338360202649788,0.0001363029892838061,0.5565840744966765,-0.03814882421166801,0.962569676557574,0.8615413657080635,1.0754450327137446,0.5001111131697118,1.21 (1.1; 1.34),0.96 (0.86; 1.08),0.56
cancer_inc,aa_Gaddprot,6,1955,341,0.19246156591501398,0.05399121822693513,1.2122299118646371,1.0905048157123207,1.3475422923826923,0.00036429651246387023,0.5565739992090899,-0.03808335827866709,0.9626326941422582,0.8564146638123094,1.082024564720284,0.5232019555391432,1.21 (1.09; 1.35),0.96 (0.86; 1.08),0.56
cancer_inc,aa_Gaddprot,7,1935,334,0.2230570266321389,0.054718176772633215,1.2498918488263517,1.122784062362892,1.3913892137681874,4.5724477802778176e-05,0.5860952587162396,-0.03401576875002877,0.9665562631332352,0.8588436446195574,1.0877777528596846,0.5725721231460951,1.25 (1.12; 1.39),0.97 (0.86; 1.09),0.59
cancer_inc,aa_Gaddprot,8,1924,334,0.19226168927951007,0.057435779814582893,1.2119876396414813,1.0829508994093942,1.3563994816799416,0.0008156746938554931,0.5902544737286046,-0.028183743760837168,0.9722097129195072,0.8626030759907481,1.0957435142570349,0.6442244798910062,1.21 (1.08; 1.36),0.97 (0.86; 1.1),0.59
cancer_inc,aa_Gaddprot,9,1878,328,0.21303611505102366,0.05930963551204307,1.2374293402603844,1.101630511524669,1.3899681936169404,0.00032823683869627436,0.5935514991219893,-0.029550550680289566,0.9708817976653389,0.8601155445061618,1.0959126027411625,0.6325676334648349,1.24 (1.1; 1.39),0.97 (0.86; 1.1),0.59
died,aa_Gaddprotmet,0,2160,274,0.5717989071828097,0.05692401688955525,1.7714508625654564,1.5844381804729661,1.9805368219207975,9.669664082703389e-24,0.6415629752158994,,,,,,1.77 (1.58; 1.98),nan (nan; nan),0.64
died,aa_Gaddprotmet,1,2160,274,0.5745517488570987,0.04393602126489555,1.7763341046361978,1.6297697212863291,1.9360789503459714,4.456322496157627e-39,0.7297911420634335,,,,,,1.78 (1.63; 1.94),nan (nan; nan),0.73
died,aa_Gaddprotmet,2,2136,268,0.5665586631188473,0.04535048937083561,1.7621923074293655,1.6123187129189742,1.9259974491899896,8.163374427862494e-36,0.7294582376475006,,,,,,1.76 (1.61; 1.93),nan (nan; nan),0.73
died,aa_Gaddprotmet,3,2125,265,0.5203185162763762,0.05017280374886466,1.6825634882147444,1.52498050736997,1.856430215462777,3.3765035476616923e-25,0.7323447963900749,,,,,,1.68 (1.52; 1.86),nan (nan; nan),0.73
died,aa_Gaddprotmet,4,2075,256,0.5122263247098146,0.052854165411367185,1.66900280397262,1.504760973617285,1.8511713212313403,3.2827693860925395e-22,0.7319338730045407,,,,,,1.67 (1.5; 1.85),nan (nan; nan),0.73
died,aa_Gaddprotmet,5,2160,274,0.557372072164478,0.04884983189512427,1.746077899086091,1.5866552132340528,1.9215189313011514,3.7312511412109724e-30,0.7326007326007326,0.10109424915699738,1.1063809123179444,0.9843077928995904,1.243593449093373,0.09011251694906375,1.75 (1.59; 1.92),1.11 (0.98; 1.24),0.73
died,aa_Gaddprotmet,6,2160,274,0.512785752747777,0.05143285359352613,1.6699367521506412,1.5098030503410345,1.8470546575949245,2.0622066505191467e-23,0.7334576577146088,0.14866581968366058,1.1602851799451055,1.031010825402645,1.305768732616832,0.013637111224210689,1.67 (1.51; 1.85),1.16 (1.03; 1.31),0.73
died,aa_Gaddprotmet,7,2136,268,0.5106366717967566,0.052400192485729684,1.6663517764684417,1.5037081864592423,1.8465871689359155,1.9389555821768636e-22,0.7335673122752285,0.13903367044861187,1.1491627921789507,1.019378558876588,1.295470766408771,0.022974153485150986,1.67 (1.5; 1.85),1.15 (1.02; 1.3),0.73
died,aa_Gaddprotmet,8,2125,265,0.4641085724431049,0.05640179906092034,1.5905956559217826,1.4241328150274244,1.776515865613648,1.8939371385200862e-16,0.7352317067340401,0.13959476691453832,1.149807764289281,1.0180489542211404,1.2986191767480932,0.024574138218824697,1.59 (1.42; 1.78),1.15 (1.02; 1.3),0.74
died,aa_Gaddprotmet,9,2075,256,0.47225141636665263,0.058857124399940626,1.6036005044612693,1.4288837889590955,1.7996807002630586,1.0261370757675109e-15,0.7346936425503495,0.10207670682119352,1.1074684188518622,0.9742916303426028,1.258849260896307,0.11839618069787529,1.6 (1.43; 1.8),1.11 (0.97; 1.26),0.73
CVD_inc,aa_Gaddprotmet,0,2063,191,0.15163080271614054,0.0803553439745074,1.163730510966463,0.9941543751035452,1.3622317982689687,0.05915987599751332,0.5143365458626586,,,,,,1.16 (0.99; 1.36),nan (nan; nan),0.51
CVD_inc,aa_Gaddprotmet,1,2063,191,0.3089434181970349,0.06340652632276665,1.3619853047390285,1.2028201327399972,1.5422122725027947,1.1023781732633457e-06,0.660449016652609,,,,,,1.36 (1.2; 1.54),nan (nan; nan),0.66
CVD_inc,aa_Gaddprotmet,2,2041,191,0.30204014019861397,0.06482758915804494,1.352615519875422,1.1912228687063255,1.5358744301096063,3.1754922172003914e-06,0.6608534270912507,,,,,,1.35 (1.19; 1.54),nan (nan; nan),0.66
CVD_inc,aa_Gaddprotmet,3,2030,190,0.24294275528469744,0.0706944727769488,1.2749956352672136,1.110026772869734,1.4644816770930422,0.0005892454416116435,0.6715013886465765,,,,,,1.27 (1.11; 1.46),nan (nan; nan),0.67
CVD_inc,aa_Gaddprotmet,4,1982,189,0.24602056632895936,0.07238500311494053,1.278925876081546,1.109765317397733,1.473871431075497,0.0006768759899773556,0.679893310655405,,,,,,1.28 (1.11; 1.47),nan (nan; nan),0.68
CVD_inc,aa_Gaddprotmet,5,2063,191,0.32091213690923853,0.06731406786811427,1.3783844664536071,1.208015569676786,1.5727808358206343,1.8663164187575364e-06,0.6223365274263354,0.05157283492792319,1.0529258732794426,0.9072696242536153,1.2219662876218673,0.49719893274210314,1.38 (1.21; 1.57),1.05 (0.91; 1.22),0.62
CVD_inc,aa_Gaddprotmet,6,2063,191,0.24779956077443618,0.07153366753857092,1.2812031030977935,1.1135979266109781,1.47403416633771,0.0005320146976716152,0.6597115637228468,0.14438849363264963,1.1553328608105826,0.9929585076873666,1.3442596129998874,0.06168985647010819,1.28 (1.11; 1.47),1.16 (0.99; 1.34),0.66
CVD_inc,aa_Gaddprotmet,7,2041,191,0.2437352793362111,0.07261708010803682,1.2760065004883283,1.106728556961769,1.4711760883429652,0.0007895124988466295,0.6615528810508596,0.13902738354685812,1.1491555675280876,0.9879837883551065,1.3366196226553455,0.07136136094110186,1.28 (1.11; 1.47),1.15 (0.99; 1.34),0.66
CVD_inc,aa_Gaddprotmet,8,2030,190,0.19123409511088033,0.07777575583391563,1.2107428478904432,1.0395588233207398,1.4101157248949447,0.013940691208207328,0.672515171376434,0.1256041891361531,1.1338332959182902,0.9713966446550417,1.323432554566278,0.11135951503955864,1.21 (1.04; 1.41),1.13 (0.97; 1.32),0.67
CVD_inc,aa_Gaddprotmet,9,1982,189,0.1929191357280809,0.07913201784835729,1.2127847186005303,1.0385476333355768,1.41625355107396,0.014771213055048206,0.6813863816463402,0.13391148072971196,1.1432916118260865,0.9769761654858278,1.3379197526501503,0.09500729594383739,1.21 (1.04; 1.42),1.14 (0.98; 1.34),0.68
cancer_inc,aa_Gaddprotmet,0,1955,341,-0.023451407436850757,0.06134460273320316,0.9768214397731066,0.8661608752894637,1.1016199789462044,0.7022465220467553,0.5411210268733108,,,,,,0.98 (0.87; 1.1),nan (nan; nan),0.54
cancer_inc,aa_Gaddprotmet,1,1955,341,0.15396193796890723,0.04937099003729553,1.166446488610985,1.0588639367678225,1.2849596284732434,0.001817928147045664,0.5490225711630157,,,,,,1.17 (1.06; 1.28),nan (nan; nan),0.55
cancer_inc,aa_Gaddprotmet,2,1935,334,0.1884643827522816,0.05085714057627915,1.2073940781667871,1.092847001280569,1.3339474402949487,0.00021075738437349178,0.5814117137598788,,,,,,1.21 (1.09; 1.33),nan (nan; nan),0.58
cancer_inc,aa_Gaddprotmet,3,1924,334,0.15724208982223278,0.05413549010564838,1.1702788922191114,1.0524686279215596,1.3012764934174013,0.0036771956250739985,0.5847653157887907,,,,,,1.17 (1.05; 1.3),nan (nan; nan),0.58
cancer_inc,aa_Gaddprotmet,4,1878,328,0.17703385923096393,0.055550527931147516,1.193671509242232,1.0705331818565667,1.3309738512780955,0.001438075439598351,0.58781462050426,,,,,,1.19 (1.07; 1.33),nan (nan; nan),0.59
cancer_inc,aa_Gaddprotmet,5,1955,341,0.17571447383041205,0.053358042916587245,1.192097634981558,1.073725773372355,1.3235192882305944,0.000990819415051415,0.552649674694152,-0.043409531866131085,0.9575191751456044,0.8541008263111795,1.073459880294601,0.4566408323068615,1.19 (1.07; 1.32),0.96 (0.85; 1.07),0.55
cancer_inc,aa_Gaddprotmet,6,1955,341,0.1689556915850497,0.05568911382092197,1.1840676735998392,1.0616316681375206,1.3206239958193506,0.0024140740896311493,0.5509595452015184,-0.035416194780358075,0.9652036199419991,0.856288940036718,1.0879715764040943,0.562081572525656,1.18 (1.06; 1.32),0.97 (0.86; 1.09),0.55
