"Name","r2_val","r2_train","concordance_val","concordance_train","ID","Notes","State","Created","Runtime","architecture","target","batch_size","add_age","beta","dset","gamma","lr","n_epochs","weight_decay","init","max_depth","n_trees","alpha","l1_ratio","cosim_train","cosim_val","training_loss","validation_loss","var_t","in_dim","combine_sets","nested_batch_size","seed","bootstrap","score_test","score_train"
"warm-dragon-1047","0","0","0.7262219234792113","0.8696503338283609","sbb64192","-","finished","2025-01-03T16:10:49.000Z","2655","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.491734724962148","7.023506658998169","0","344","true","1000","44","true","",""
"olive-fog-1051","0","0","0.7260439340685343","0.8642695561023687","tg53xv14","-","finished","2025-01-03T16:10:57.000Z","2648","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.51270956536183","7.089042366795619","0","344","true","1000","48","true","",""
"revived-gorge-1019","0","0","0.7260114771759991","0.8694098241449988","sd35uh2z","-","finished","2025-01-03T15:25:51.000Z","2666","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.486948703673935","7.052858015821054","0","344","true","1000","21","true","",""
"stoic-galaxy-1009","0","0","0.7259444693978618","0.8687628670749393","5yueal1y","-","finished","2025-01-03T15:25:50.000Z","3163","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.486301481698803","7.120540342837421","0","344","true","1000","4","true","",""
"silver-field-1037","0","0","0.7258083598485205","0.8662489237670128","o8g2rdei","-","finished","2025-01-03T16:10:28.000Z","2647","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.441166734495564","7.12061131673166","0","344","true","1000","34","true","",""
"pleasant-totem-1090","0","0","0.7257601980079844","0.8628546245520432","opvvrcyr","-","finished","2025-01-03T17:10:11.000Z","3087","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.474158628799579","7.1105195001691195","0","344","true","1000","87","true","",""
"apricot-plasma-1027","0","0","0.7257026131986477","0.8656008854581279","zphvxdqa","-","finished","2025-01-03T15:25:51.000Z","2670","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.473210124869503","7.061472266070851","0","344","true","1000","30","true","",""
"happy-shadow-1023","0","0","0.725382232259429","0.8638855016440333","b0sojr67","-","finished","2025-01-03T15:25:51.000Z","2698","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.514876634484413","7.103997918808356","0","344","true","1000","13","true","",""
"zesty-wave-1073","0","0","0.7252429817204875","0.8695768127459029","x2pestc3","-","finished","2025-01-03T16:54:52.000Z","2667","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.458536780522017","7.089437699438249","0","344","true","1000","70","true","",""
"blooming-hill-1035","0","0","0.7250576633340767","0.8651946266292163","orfd12ct","-","finished","2025-01-03T16:10:20.000Z","2634","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.512128294184446","7.1632678267577985","0","344","true","1000","32","true","",""
"worldly-field-1058","0","0","0.724623159772718","0.8660897200771013","is980d4s","-","finished","2025-01-03T16:18:13.000Z","3096","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.511815870753482","7.107941056331877","0","344","true","1000","55","true","",""
"worthy-plant-1097","0","0","0.7242902148750986","0.8650476580511752","lg1a6eup","-","finished","2025-01-03T17:38:35.000Z","3010","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.501195879554812","7.0819075219972225","0","344","true","1000","94","true","",""
"rich-pine-1072","0","0","0.7242127371316274","0.8671744250201076","gdza109x","-","finished","2025-01-03T16:54:50.000Z","2638","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.48469613399129","7.134031128764949","0","344","true","1000","69","true","",""
"unique-galaxy-1084","0","0","0.7242095961420272","0.8697315360861476","y0s7ks60","-","finished","2025-01-03T16:55:25.000Z","2668","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.480721597443443","7.077031762675401","0","344","true","1000","81","true","",""
"earthy-bird-1065","0","0","0.7239823978942805","0.8684305677402461","kjhu80hc","-","finished","2025-01-03T16:18:45.000Z","3130","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.463169347109963","7.130013173296828","0","344","true","1000","62","true","",""
"still-darkness-1032","0","0","0.7238389593692055","0.8642342283196524","f9g488ez","-","finished","2025-01-03T15:25:51.000Z","2691","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.491196518128824","7.10428583510265","0","344","true","1000","19","true","",""
"visionary-river-1088","0","0","0.7237625286222678","0.8645676326051156","hsrmu8cd","-","finished","2025-01-03T17:10:01.000Z","3091","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.497682710375871","7.139091411040416","0","344","true","1000","85","true","",""
"playful-disco-1056","0","0","0.723641077024394","0.8653458151597319","lefpv48r","-","finished","2025-01-03T16:18:11.000Z","3082","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.488417198275195","7.106874457749428","0","344","true","1000","53","true","",""
"hopeful-energy-1082","0","0","0.7227144850923398","0.8651330175991415","stbhu180","-","finished","2025-01-03T16:55:18.000Z","2647","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.479438769864093","7.1059180483244235","0","344","true","1000","79","true","",""
"fiery-water-1087","0","0","0.7226192084078009","0.8685155380150448","2mdcyvx5","-","finished","2025-01-03T17:09:47.000Z","3092","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.487899329711734","7.090726457122981","0","344","true","1000","84","true","",""
"flowing-surf-1039","0","0","0.7220056684392318","0.8604324046309324","6qj8faz4","-","finished","2025-01-03T16:10:32.000Z","2638","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.510358991629053","7.084248664597954","0","344","true","1000","36","true","",""
"stoic-firebrand-1053","0","0","0.7218067390978868","0.8647526603321153","5ybh7nwr","-","finished","2025-01-03T16:11:00.000Z","2654","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.501189018053514","7.106217389935679","0","344","true","1000","50","true","",""
"dandy-pine-1077","0","0","0.7215889638189408","0.8678844676126343","4zsl0i1h","-","finished","2025-01-03T16:55:10.000Z","2658","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.447544293590083","7.085351962143048","0","344","true","1000","74","true","",""
"soft-vortex-1096","0","0","0.7215690708848063","0.8702492208053719","mx5vjj01","-","finished","2025-01-03T17:11:08.000Z","3146","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.470101511407847","7.11994690572209","0","344","true","1000","93","true","",""
"worthy-disco-1025","0","0","0.7214936871344019","0.8625020594390143","af8a7863","-","finished","2025-01-03T15:25:51.000Z","2658","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.492068758257071","7.099867094538166","0","344","true","1000","31","true","",""
"dulcet-microwave-1092","0","0","0.7207890584674275","0.869701962793471","xepqr66b","-","finished","2025-01-03T17:10:19.000Z","3100","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.463823154169065","7.194788262204837","0","344","true","1000","89","true","",""
"misunderstood-dragon-1061","0","0","0.7202613722145966","0.870198313323132","j6jrmjlb","-","finished","2025-01-03T16:18:30.000Z","3089","ds_default","mort","1000","false","0.1","allprot","0.99","0.000005","100","0.00001","normal","","","","","NaN","NaN","8.465298230533763","7.134430275695583","0","344","true","1000","58","true","",""
