outcome,variable,model,N,N_event,coef,se(coef),exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,C,MH_coef,MH_HR,MH_LL,MH_UL,MH_p,HR_CI,MH_CI,Concordance
died,aa_nn_cmb_mort,6,583,38,0.37768658295119534,0.17694672861200555,1.4589056253184087,1.0313590181916896,2.0636903212593127,0.03280474319057544,0.696947898468811,0.32804786608961223,1.3882554210574674,0.9871151178790251,1.9524096827090016,0.05937208220704109,1.46 (1.03; 2.06),1.39 (0.99; 1.95),0.7
died,aa_nn_cmb_mort,7,581,38,0.3836606789834835,0.17858038111669317,1.4676473535889818,1.034222114193065,2.0827138821889886,0.03168262029740454,0.700897925482506,0.3302743780675763,1.3913498319740696,0.9920020307620335,1.9514620886886613,0.0556915517019364,1.47 (1.03; 2.08),1.39 (0.99; 1.95),0.7
died,aa_nn_cmb_mort,8,581,38,0.3512843438184532,0.18798570563712586,1.420891290132152,0.9829855401727238,2.0538776776092327,0.061667929186603666,0.6930539787387759,0.33860477263081035,1.4029887360744286,0.9957995409235648,1.9766803585048154,0.05288016954676519,1.42 (0.98; 2.05),1.4 (1.0; 1.98),0.69
died,aa_nn_cmb_mort,9,581,38,0.34398539008380624,0.18898182916669473,1.410558027222572,0.9739335623405542,2.042925744729913,0.06872801774160346,0.7204045825162555,0.32941623316897845,1.390156364370904,0.9761767319273593,1.9796975836387138,0.06780678254549555,1.41 (0.97; 2.04),1.39 (0.98; 1.98),0.72
died,aa_nn_cmb_ffs_mort,0,996,68,0.5844151401808503,0.08544619630807794,1.7939414744750348,1.517317044309021,2.120997734726711,7.943189226796491e-12,0.7234687143799868,,,,,,1.79 (1.52; 2.12),nan (nan; nan),0.72
died,aa_nn_cmb_ffs_mort,1,996,68,0.6116860255935889,0.09379043220684877,1.843537030574878,1.5339715498233846,2.2155748478465216,6.94509027100313e-11,0.7298578199052133,,,,,,1.84 (1.53; 2.22),nan (nan; nan),0.73
died,aa_nn_cmb_ffs_mort,2,993,68,0.6374486229942116,0.09636624375939022,1.8916484089458763,1.56607776687845,2.2849016688359605,3.7191888692127726e-11,0.7292287322078782,,,,,,1.89 (1.57; 2.28),nan (nan; nan),0.73
died,aa_nn_cmb_ffs_mort,3,993,68,0.5854907707117795,0.10192528291779245,1.7958721308460046,1.47067412937139,2.192978475610975,9.229469795498879e-09,0.7223375763594234,,,,,,1.8 (1.47; 2.19),nan (nan; nan),0.72
died,aa_nn_cmb_ffs_mort,4,993,68,0.5699508241493975,0.10339051718311072,1.7681800975354218,1.4438441916470643,2.1653727427153107,3.5356614127337923e-08,0.7285065150010532,,,,,,1.77 (1.44; 2.17),nan (nan; nan),0.73
died,aa_nn_cmb_ffs_mort,5,583,38,0.373817932965216,0.1347131283852018,1.4532725333476775,1.1160381557172925,1.892409363750978,0.00552155669426232,0.6956119617716576,0.31165089199378593,1.3656778407297372,0.989483022779167,1.8848994088062136,0.05800575541477042,1.45 (1.12; 1.89),1.37 (0.99; 1.88),0.7
