type,outcome,variable,model,N,Ncase,Coef,Std Err,t-value,P,LL,UL,R-squared,MH_coef,MH_LL,MH_UL,MH_p,Beta_CI,R2
linear,max_handgrip,aa_coefs_frailty_cmb,6,569,,-2.0738856331466917,0.4684133342414999,-4.427469248937859,1.1444801997821848e-05,-2.9939262887329203,-1.153844977560463,0.033517552395143646,0.8228888775394677,-0.09715177804676134,1.7429295331256967,0.07949976772891901,-2.07 (-2.99; -1.15),0.03
linear,max_handgrip,aa_coefs_frailty_cmb,7,569,,-2.0738856331466917,0.4684133342414999,-4.427469248937859,1.1444801997821848e-05,-2.9939262887329203,-1.153844977560463,0.033517552395143646,0.8228888775394677,-0.09715177804676134,1.7429295331256967,0.07949976772891901,-2.07 (-2.99; -1.15),0.03
linear,max_handgrip,aa_coefs_frailty_cmb,8,569,,-0.4988559263948415,0.3356051677628767,-1.4864369631736731,0.13772136869654814,-1.158042049145718,0.1603301963560349,0.5235228559486387,-0.22395586822340155,-0.8761302234311309,0.42821848698432785,0.5002731275098634,-0.5 (-1.16; 0.16),0.52
linear,max_handgrip,aa_coefs_frailty_cmb,9,567,,-0.44451837199362293,0.3389813323447873,-1.3113358453069357,0.19027981676007602,-1.1103434909309373,0.2213067469436914,0.5244573701275544,-0.20934958063500078,-0.8633553425555968,0.44465618128559525,0.5297711171359005,-0.44 (-1.11; 0.22),0.52
linear,max_handgrip,aa_coefs_frailty_cmb,10,567,,-1.0279521281638704,0.3758360600187038,-2.7351077704271205,0.006433584736207663,-1.76617277421142,-0.2897314821163208,0.5344621138898719,-0.35330324752030595,-1.0066642043855833,0.30005770934497134,0.2886294860926045,-1.03 (-1.77; -0.29),0.53
linear,max_handgrip,aa_coefs_frailty_cmb,11,567,,-1.0172250418824516,0.3784752521207116,-2.68769235553086,0.007409515728859413,-1.7606353844359601,-0.273814699328943,0.5354596852668801,-0.34389379284479954,-1.0026549519917702,0.3148673663021712,0.30562530278147354,-1.02 (-1.76; -0.27),0.54
linear,max_handgrip,aa_coefs_mort_cmb,0,978,,1.7897343037858429,0.3240442944437324,5.523116235878103,4.270706929897116e-08,1.153830572308979,2.4256380352627067,0.03030766724846634,,,,,1.79 (1.15; 2.43),0.03
linear,max_handgrip,aa_coefs_mort_cmb,1,978,,1.9958272178703576,0.32280852322358844,6.182696782414193,9.249655168340316e-10,1.3623485608157737,2.6293058749249414,0.0376895773932876,,,,,2.0 (1.36; 2.63),0.04
linear,max_handgrip,aa_coefs_mort_cmb,2,978,,-0.6241852977896674,0.23526573019361183,-2.6531076042226562,0.008105119504618355,-1.0858707796835563,-0.16249981589577844,0.5471208394665361,,,,,-0.62 (-1.09; -0.16),0.55
linear,max_handgrip,aa_coefs_mort_cmb,3,975,,-0.5375838725434988,0.23663903753975113,-2.2717463616001834,0.023319903240414365,-1.0019667105059817,-0.07320103458101596,0.5514041012995279,,,,,-0.54 (-1.0; -0.07),0.55
linear,max_handgrip,aa_coefs_mort_cmb,4,975,,-0.9726561199734515,0.2602708915292664,-3.7370914367659136,0.00019704841432024867,-1.483415662607114,-0.46189657733978906,0.5592533341012635,,,,,-0.97 (-1.48; -0.46),0.56
linear,max_handgrip,aa_coefs_mort_cmb,5,975,,-0.931657954766694,0.26188611182605104,-3.5574927905513225,0.0003925845473234485,-1.4455885594978086,-0.41772735003557937,0.560711457912962,,,,,-0.93 (-1.45; -0.42),0.56
linear,max_handgrip,aa_coefs_mort_cmb,6,569,,2.692516073886391,0.46212562862592377,5.826372542661767,9.511549919726506e-09,1.7848255039484613,3.600206643824321,0.05662519636107888,-1.2189130281748892,-2.126603598112818,-0.31122245823696015,0.00857848031566323,2.69 (1.78; 3.6),0.06
linear,max_handgrip,aa_coefs_mort_cmb,7,569,,2.692516073886391,0.46212562862592377,5.826372542661767,9.511549919726506e-09,1.7848255039484613,3.600206643824321,0.05662519636107888,-1.2189130281748892,-2.126603598112818,-0.31122245823696015,0.00857848031566323,2.69 (1.78; 3.6),0.06
linear,max_handgrip,aa_coefs_mort_cmb,8,569,,-0.3493079792810933,0.35366237891651797,-0.9876876934188905,0.32372839970848877,-1.043961562462951,0.34534560390076446,0.522484016888467,-0.29948346469091336,-0.9504055235011348,0.3514385941193081,0.36654074663634195,-0.35 (-1.04; 0.35),0.52
linear,max_handgrip,aa_coefs_mort_cmb,9,567,,-0.31697836652719336,0.354728354281444,-0.893580574265852,0.37192883161387436,-1.01373369239171,0.37977695933732314,0.5236790637225106,-0.271437183767069,-0.9246037264606788,0.38172935892654086,0.4146959025072744,-0.32 (-1.01; 0.38),0.52
linear,max_handgrip,aa_coefs_mort_cmb,10,567,,-0.6486789630476184,0.38164825542671704,-1.6996775272098048,0.08974691212050215,-1.3983159767764506,0.10095805068121388,0.530664369002724,-0.4405619086710407,-1.1072510645991687,0.22612724725708722,0.19482517123349335,-0.65 (-1.4; 0.1),0.53
linear,max_handgrip,aa_coefs_mort_cmb,11,567,,-0.6381669826557425,0.3842431316463594,-1.660841613281154,0.09730700308017619,-1.392906735177123,0.11657276986563803,0.5317605704277065,-0.4252562834554775,-1.0968792813159847,0.24636671440502955,0.21413153641013702,-0.64 (-1.39; 0.12),0.53
linear,max_handgrip,aa_coefs_mort_cmb_ffs,0,978,,2.1256700218275477,0.32195812858379314,6.602318230565559,6.635878070973177e-11,1.4938601771357984,2.757479866519297,0.04275304790019252,,,,,2.13 (1.49; 2.76),0.04
linear,max_handgrip,aa_coefs_mort_cmb_ffs,1,978,,2.3962646101649154,0.3200052135901456,7.488204905417538,1.5593819984664952e-13,1.7682871610839248,3.024242059245906,0.05433065408075821,,,,,2.4 (1.77; 3.02),0.05
linear,max_handgrip,aa_coefs_mort_cmb_ffs,2,978,,-0.7370675507108739,0.24122417825911957,-3.0555293255849607,0.0023077543169081013,-1.2104458914167955,-0.2636892100049525,0.5481777852017358,,,,,-0.74 (-1.21; -0.26),0.55
linear,max_handgrip,aa_coefs_mort_cmb_ffs,3,975,,-0.6470257148839481,0.24285697745504609,-2.664225346392263,0.007844477829907898,-1.1236107009542207,-0.17044072881367545,0.5522926105509129,,,,,-0.65 (-1.12; -0.17),0.55
linear,max_handgrip,aa_coefs_mort_cmb_ffs,4,975,,-1.1230555677235783,0.26531011726011483,-4.232991863715903,2.525243605667403e-05,-1.6437041633143075,-0.602406972132849,0.5610184174240311,,,,,-1.12 (-1.64; -0.6),0.56
linear,max_handgrip,aa_coefs_mort_cmb_ffs,5,975,,-1.0896157793749999,0.26632766168789623,-4.091260263651838,4.647760049108405e-05,-1.6122625714232857,-0.5669689873267141,0.5625345684094112,,,,,-1.09 (-1.61; -0.57),0.56
linear,max_handgrip,aa_coefs_mort_cmb_ffs,6,569,,3.3210839621458597,0.45115627286063714,7.361271829576772,6.454676701024233e-13,2.4349390070141252,4.207228917277594,0.08741506237876306,-1.439028690809732,-2.325173645941467,-0.5528837356779973,0.0015032779257920668,3.32 (2.43; 4.21),0.09
linear,max_handgrip,aa_coefs_mort_cmb_ffs,7,569,,3.3210839621458597,0.45115627286063714,7.361271829576772,6.454676701024233e-13,2.4349390070141252,4.207228917277594,0.08741506237876306,-1.439028690809732,-2.325173645941467,-0.5528837356779973,0.0015032779257920668,3.32 (2.43; 4.21),0.09
linear,max_handgrip,aa_coefs_mort_cmb_ffs,8,569,,-0.35042393660432486,0.3645462161875273,-0.9612606606347609,0.3368323168259758,-1.066455243315152,0.3656073701065022,0.5224405580096636,-0.30543104929699627,-0.9544988603973866,0.3436367618033941,0.35573626015474025,-0.35 (-1.07; 0.37),0.52
linear,max_handgrip,aa_coefs_mort_cmb_ffs,9,567,,-0.30081397897938805,0.36633226311045597,-0.8211506582173109,0.41190864343387756,-1.0203616336213375,0.4187336756625614,0.5235739264658821,-0.2840074339344791,-0.9350288764922126,0.36701400862325445,0.3918777398139477,-0.3 (-1.02; 0.42),0.52
linear,max_handgrip,aa_coefs_mort_cmb_ffs,10,567,,-0.634510121913825,0.3873975042158939,-1.6378787034214268,0.10200872740491454,-1.3954398629962355,0.12641961916858535,0.5304923292517282,-0.45995890535120976,-1.121708341679971,0.2017905309775515,0.17272167835326696,-0.63 (-1.4; 0.13),0.53
linear,max_handgrip,aa_coefs_mort_cmb_ffs,11,567,,-0.6221866083968111,0.38837464411808315,-1.6020268517005418,0.1097155825438913,-1.385041578715546,0.1406683619219239,0.5316002729248748,-0.44043463738679095,-1.1087239515567788,0.22785467678319699,0.1960220262811161,-0.62 (-1.39; 0.14),0.53
