,variable,model,N,Coef,Std Err,t-value,P,LL,UL,R-squared,Age_coef,Age_LL,Age_UL
127,nn_allprot_frailty,1,4320,    0.0397,    0.001,   39.045, 0.000,    0.038,    0.042,0.8037554220180156,    0.0022,    0.002,    0.002
128,nn_allprot_frailty,2,4320,    0.0398,    0.001,   38.751, 0.000,    0.038,    0.042,0.8037577863093672,    0.0022,    0.002,    0.002
129,nn_allprot_frailty,3,4264,    0.0392,    0.001,   37.108, 0.000,    0.037,    0.041,0.8036005072239158,    0.0023,    0.002,    0.002
130,nn_allprot_frailty,4,4243,    0.0349,    0.001,   30.451, 0.000,    0.033,    0.037,0.8069329862895277,    0.0016,    0.001,    0.002
131,nn_allprot_frailty,5,4122,    0.0353,    0.001,   30.145, 0.000,    0.033,    0.038,0.8080486958807386,    0.0015,    0.001,    0.002
132,nn_cmb_met_frailty,0,4320,    0.0356,    0.002,   15.965, 0.000,    0.031,    0.040,0.05572579902799113,,,
133,nn_cmb_met_frailty,1,4320,    0.0356,    0.001,   33.866, 0.000,    0.034,    0.038,0.7901948570069536,    0.0022,    0.002,    0.002
134,nn_cmb_met_frailty,2,4320,    0.0355,    0.001,   33.599, 0.000,    0.033,    0.038,0.7903241527872678,    0.0023,    0.002,    0.002
135,nn_cmb_met_frailty,3,4264,    0.0347,    0.001,   31.937, 0.000,    0.033,    0.037,0.7903179502339156,    0.0023,    0.002,    0.002
136,nn_cmb_met_frailty,4,4243,    0.0297,    0.001,   24.409, 0.000,    0.027,    0.032,0.7936893106404701,    0.0016,    0.001,    0.002
137,nn_cmb_met_frailty,5,4122,    0.0301,    0.001,   23.844, 0.000,    0.028,    0.033,0.7941033622530815,    0.0016,    0.001,    0.002
138,nn_cmb_mh_frailty,0,4320,    0.0372,    0.002,   16.702, 0.000,    0.033,    0.042,0.06066765840078925,,,
139,nn_cmb_mh_frailty,1,4320,    0.0372,    0.001,   35.759, 0.000,    0.035,    0.039,0.7951367163797485,    0.0022,    0.002,    0.002
140,nn_cmb_mh_frailty,2,4320,    0.0373,    0.001,   35.460, 0.000,    0.035,    0.039,0.7951585455195633,    0.0022,    0.002,    0.002
