type,outcome,variable,model,N,Ncase,Coef,Std Err,t-value,P,LL,UL,R-squared,MH_coef,MH_LL,MH_UL,MH_p,Beta_CI,R2
linear,FI_0,aa_coefs_mort_cmb_ffs,4,2125,,0.021392027778202535,0.0017275574345350909,12.382817121191353,4.730538660828546e-34,0.018004142296982068,0.024779913259423,0.1395198356377697,,,,,0.02 (0.02; 0.02),0.14
linear,FI_0,aa_coefs_mort_cmb_ffs,5,2075,,0.02149480474274053,0.0017787705624563454,12.084079417784977,1.5581188059443351e-32,0.01800643585421194,0.024983173631269125,0.1437328383593528,,,,,0.02 (0.02; 0.02),0.14
linear,FI_0,aa_coefs_mort_cmb_ffs,6,2160,,0.01894764767474128,0.0016698183004383639,11.347131403319217,5.0080660316053423e-29,0.015673026463543602,0.02222226888593896,0.08968502871659978,0.008495956655260132,0.005221335444062452,0.01177057786645781,3.932466760768681e-07,0.02 (0.02; 0.02),0.09
linear,FI_0,aa_coefs_mort_cmb_ffs,7,2160,,0.01894764767474128,0.0016698183004383639,11.347131403319217,5.0080660316053423e-29,0.015673026463543602,0.02222226888593896,0.08968502871659978,0.008495956655260132,0.005221335444062452,0.01177057786645781,3.932466760768681e-07,0.02 (0.02; 0.02),0.09
linear,FI_0,aa_coefs_mort_cmb_ffs,8,2160,,0.022753797652873387,0.0017821927953507112,12.767304251387545,4.867745486386501e-36,0.01925880191093871,0.026248793394808064,0.10370427521407743,0.004786844514219038,0.0013037669963745658,0.00826992203206351,0.007090955151567452,0.02 (0.02; 0.03),0.1
linear,FI_0,aa_coefs_mort_cmb_ffs,9,2136,,0.02214941386227003,0.0017836804988711932,12.417814668202821,3.1026269239812083e-34,0.018651477587150418,0.02564735013738964,0.1199040158202036,0.00444809643071578,0.000972587972496788,0.007923604888934772,0.012151264760580137,0.02 (0.02; 0.03),0.12
linear,FI_0,aa_coefs_mort_cmb_ffs,10,2125,,0.020076735913015918,0.0018630013323976294,10.776554779581254,2.1195298763784002e-26,0.016423232566352378,0.02373023925967946,0.14095217391279735,0.003308187674767133,-0.000144119082389742,0.0067604944319240075,0.0603519719100473,0.02 (0.02; 0.02),0.14
linear,FI_0,aa_coefs_mort_cmb_ffs,11,2075,,0.02036610731923465,0.0019074463833984423,10.677158475589204,6.096440377215046e-26,0.016625389630400646,0.024106825008068655,0.14483859768331286,0.002913432959430552,-0.000582283544739185,0.0064091494636002895,0.10231692118890916,0.02 (0.02; 0.02),0.14
linear,FI_0,aa_nn_allprot_mort,0,2160,,0.020074424943147092,0.0016024691466196954,12.527183431576693,8.349133232685614e-35,0.016931880576961097,0.023216969309333087,0.06779051751667153,,,,,0.02 (0.02; 0.02),0.07
linear,FI_0,aa_nn_allprot_mort,1,2160,,0.02152867650606051,0.0015936974338840637,13.508634730992892,5.589798264166644e-40,0.01840333402890764,0.02465401898321338,0.07796817825342317,,,,,0.02 (0.02; 0.02),0.08
linear,FI_0,aa_nn_allprot_mort,2,2160,,0.023709273622624885,0.0016150286274574882,14.680404557255425,1.4076471182452224e-46,0.020542098488195354,0.026876448757054416,0.09530379212798112,,,,,0.02 (0.02; 0.03),0.1
linear,FI_0,aa_nn_allprot_mort,3,2136,,0.02274626380389096,0.0016312397591900282,13.944157304739393,2.3333357923248918e-42,0.01954727653584913,0.02594525107193279,0.10995543808723485,,,,,0.02 (0.02; 0.03),0.11
linear,FI_0,aa_nn_allprot_mort,4,2125,,0.021376494046717914,0.001725429321594389,12.389087040067738,4.398032631256745e-34,0.017992781974027938,0.02476020611940789,0.13957864687222143,,,,,0.02 (0.02; 0.02),0.14
linear,FI_0,aa_nn_allprot_mort,5,2075,,0.020808439476719422,0.0017763504953913075,11.714151869637409,9.866326823450543e-31,0.01732481661156001,0.024292062341878834,0.1403129223640256,,,,,0.02 (0.02; 0.02),0.14
linear,FI_0,aa_nn_allprot_mort,6,2160,,0.01878893229917866,0.001679974911765774,11.18405529010558,2.8776490404842795e-28,0.015494393319156731,0.022083471279200587,0.08821936394326413,0.008273127864689018,0.004978588884667099,0.011567666844710937,9.097068461599627e-07,0.02 (0.02; 0.02),0.09
linear,FI_0,aa_nn_allprot_mort,7,2160,,0.01878893229917866,0.001679974911765774,11.18405529010558,2.8776490404842795e-28,0.015494393319156731,0.022083471279200587,0.08821936394326413,0.008273127864689018,0.004978588884667099,0.011567666844710937,9.097068461599627e-07,0.02 (0.02; 0.02),0.09
linear,FI_0,aa_nn_allprot_mort,8,2160,,0.021628775512029505,0.0017627527327086995,12.269886247059773,1.675831739587824e-33,0.018171902994660663,0.025085648029398347,0.09886483058137752,0.005191594588595168,0.0017036064591069199,0.008679582718083417,0.0035492048558852718,0.02 (0.02; 0.03),0.1
linear,FI_0,aa_nn_allprot_mort,9,2136,,0.020756069241645508,0.0017713073677777876,11.717937620101052,8.87627775984687e-31,0.017282397639552163,0.024229740843738853,0.11334995886103238,0.005066079126004516,0.0015878198114833786,0.008544338440525653,0.004327539340805953,0.02 (0.02; 0.02),0.11
