,variable,model,N,N_event,coef,se(coef),exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p,C
79,nn_cmb_met_pca_mort,3,4122,440,0.29482645821157827,0.05982216279112989,1.342893290360046,1.194320224413315,1.5099487996863612,8.291347195848518e-07,0.6326478594776682
80,nn_cmb_mh_mort,0,4320,464,0.5696881627913267,0.03925477923642304,1.7677157259385965,1.6368116099481023,1.909088907201542,1.0085319128901175e-47,0.6830544084319952
81,nn_cmb_mh_mort,1,4264,456,0.5738667220356655,0.04110369298047849,1.7751176848183645,1.6377198911150996,1.9240425740994154,2.6796635784547445e-44,0.6796981903393541
82,nn_cmb_mh_mort,2,4243,453,0.5371956218409004,0.0433101646303612,1.7112012715159173,1.5719380093926827,1.862802333260587,2.502981034526321e-35,0.6881360771094969
83,nn_cmb_mh_mort,3,4122,440,0.528073306477869,0.045925670926304805,1.6956621380648202,1.5496988868281418,1.8553733960224614,1.3433012216421929e-30,0.6888822807438526
84,nn_allprot_frailty,0,4320,464,0.46210472657479035,0.03558070953339167,1.5874115386940384,1.4804821582843704,1.7020640060256358,1.4404240259806582e-38,0.6700942649790006
85,nn_allprot_frailty,1,4264,456,0.46382991193072937,0.03706562683008349,1.5901524814717987,1.4787285316173575,1.7099723581888842,6.279014965511049e-36,0.6705301553092501
86,nn_allprot_frailty,2,4243,453,0.4402473070086251,0.04076871109887002,1.5530912613751051,1.43381984267055,1.6822841994340731,3.492767301734498e-27,0.6748627408995892
87,nn_allprot_frailty,3,4122,440,0.4209229639832342,0.04202123517604399,1.523366919768819,1.4029299293806046,1.6541430356899638,1.2845530170622624e-23,0.6739611402800756
88,nn_cmb_met_frailty,0,4320,464,0.44658326743993887,0.03695310550765513,1.5629628260510111,1.4537646635810622,1.680363305570984,1.26562168194843e-33,0.6585161787460672
89,nn_cmb_met_frailty,1,4264,456,0.45331923105359684,0.03899367898070593,1.5735264248433396,1.4577483578551251,1.6984998791721035,3.0596154424082013e-31,0.6580694957580734
90,nn_cmb_met_frailty,2,4243,453,0.4567229684862246,0.044478012961257224,1.5788914209762424,1.4470799016808882,1.7227093793070416,9.770086038851809e-25,0.6667650757912472
91,nn_cmb_met_frailty,3,4122,440,0.4260740099832101,0.04603487959500509,1.5312340975495509,1.3991253675740656,1.6758168466088277,2.1330890430015093e-20,0.6673616700287837
92,nn_cmb_mh_frailty,0,4320,464,0.49860262777826236,0.03678916852674298,1.6464190023326226,1.5318822107738475,1.7695195571679172,7.608443737664517e-42,0.6732302333796774
93,nn_cmb_mh_frailty,1,4264,456,0.5108063348160791,0.03900793730860874,1.666634518726865,1.5439625290838377,1.7990531290031717,3.5198368303548117e-39,0.6740483459906951
94,nn_cmb_mh_frailty,2,4243,453,0.5286290619202964,0.04417314065414359,1.6966047734396756,1.5558955514009984,1.8500391974682306,5.277621435913863e-33,0.6810733299376778
95,nn_cmb_mh_frailty,3,4122,440,0.5011016321376827,0.045803861733252495,1.6505385558440844,1.5088197350680024,1.8055685918007247,7.406807425772934e-28,0.6817868169037371
96,mortScore,0,4320,464,0.4345219464681015,0.04134877778914172,1.5442246604154306,1.4240142659980142,1.6745828035394676,7.877095295609589e-26,0.6343084859139654
97,mortScore,1,4264,456,0.4300297173382932,0.0423750518862069,1.5373032074289508,1.414782970790306,1.6704336992769895,3.37595277483737e-24,0.6341530685550082
98,mortScore,2,4243,453,0.40268986418757824,0.04429707853349494,1.495842905263223,1.3714508384296002,1.6315174664142202,9.843588927321345e-20,0.6500690486000491
99,mortScore,3,4122,440,0.36657497562262714,0.04631640706095948,1.4427845701666653,1.317579690681398,1.5798872209653423,2.4808628815068376e-15,0.6513165070570014
100,GDF15,0,4320,464,0.41865321386557663,0.031809662471162646,1.519913178570922,1.428046492358928,1.6176896780002936,1.4674373729715787e-39,0.6542228148931643
101,GDF15,1,4264,456,0.41890531485345006,0.03323321132873583,1.5202963984877518,1.4244267008234455,1.6226185158693607,1.981207228232997e-36,0.6523624580938697
102,GDF15,2,4243,453,0.3971599835090093,0.03564283722806708,1.4875939015073887,1.3872193920693445,1.5952311714017287,7.766435819381406e-29,0.6640799125348352
103,GDF15,3,4122,440,0.3733034222821226,0.03666362861273182,1.4525250014268942,1.3518094531359808,1.560744286020293,2.3898396508885256e-24,0.6651159212793879
